251,275,-2147483647,-2147483536,0,0
277,290,-2147483536,-2147483446,0,1
296,305,-2147483446,-2147483408,0,2
316,322,-2147483408,-2147483368,0,3
324,990,-2147483368,-2147480320,0,4
3,480,-2147480320,-2147477541,1,5
482,623,-2147477541,-2147476836,1,6
2,143,-2147476836,-2147476333,2,7
43,52,-2147476333,-2147476248,3,8
60,134,-2147476248,-2147476043,3,9
136,160,-2147476043,-2147475931,3,10
173,194,-2147475931,-2147475780,3,11
209,225,-2147475780,-2147475719,3,12
239,249,-2147475719,-2147475672,3,13
265,1556,-2147475672,-2147473526,3,14
19,24,-2147473526,-2147473493,4,15
26,38,-2147473493,-2147473402,4,16
2,125,-2147473402,-2147473026,5,17
19,29,-2147473026,-2147472952,6,18
40,68,-2147472952,-2147472781,6,19
80,86,-2147472781,-2147472742,6,20
92,100,-2147472742,-2147472680,6,21
115,124,-2147472680,-2147472621,6,22
139,160,-2147472621,-2147472471,6,23
183,194,-2147472471,-2147472395,6,24
197,208,-2147472395,-2147472321,6,25
225,230,-2147472321,-2147472265,6,26
232,239,-2147472265,-2147472215,6,27
242,252,-2147472215,-2147472139,6,28
255,269,-2147472139,-2147472027,6,29
273,283,-2147472027,-2147471943,6,30
290,313,-2147471943,-2147471783,6,31
315,343,-2147471783,-2147471578,6,32
350,371,-2147471578,-2147471406,6,33
373,378,-2147471406,-2147471374,6,34
386,391,-2147471374,-2147471342,6,35
396,418,-2147471342,-2147471225,6,36
426,433,-2147471225,-2147471194,6,37
435,442,-2147471194,-2147471163,6,38
2,143,-2147471163,-2147470660,7,39
254,301,-2147470660,-2147470369,8,40
304,327,-2147470369,-2147470200,8,41
375,383,-2147470200,-2147470132,8,42
396,401,-2147470132,-2147470092,8,43
414,420,-2147470092,-2147470044,8,44
564,599,-2147470044,-2147469930,8,45
601,693,-2147469930,-2147469476,8,46
706,725,-2147469476,-2147469398,8,47
727,778,-2147469398,-2147469167,8,48
780,790,-2147469167,-2147469116,8,49
850,876,-2147469116,-2147468939,8,50
1023,1033,-2147468939,-2147468879,8,51
1038,1048,-2147468879,-2147468837,8,52
1059,1068,-2147468837,-2147468776,8,53
1075,1100,-2147468776,-2147468712,8,54
1323,1382,-2147468712,-2147468440,8,55
275,284,-2147468440,-2147468385,9,56
311,327,-2147468385,-2147468293,9,57
